timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T09:13:00.000Z";"2021-12-31T20:01:00.000Z";"2781";172.7038423419;177.3570431689;168.312074491;170.2990674147;1567918819.5;52704777818.62;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T12:28:13.000Z";"2021-12-30T03:29:06.000Z";"2781";170.7647837649;175.6911657676;168.3984819094;172.7511931436;1540637868.82;53463776631.16;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T03:12:06.000Z";"2021-12-29T23:22:14.000Z";"2781";177.3890451484;180.5907773364;170.4434126536;170.657559589;2175731145.71;52792756553.19;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:00:06.000Z";"2021-12-28T19:10:05.000Z";"2781";195.6216554502;195.6216554502;177.0403655937;177.4256227557;2826063568.47;54886552517.09;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T17:36:05.000Z";"2021-12-27T09:08:05.000Z";"2781";197.8834091138;204.5785705624;195.1607972137;195.4294981464;1800094698.19;60402404760.01;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T16:43:05.000Z";"2021-12-26T04:01:06.000Z";"2781";192.9205115057;200.6442018535;190.8236850856;198.0007279793;1971114647.24;61170181005.51;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T02:02:05.000Z";"2021-12-25T11:03:06.000Z";"2781";190.5315972467;195.1492300036;189.032225277;193.1209310406;1443209768.9;59662757325.28;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T16:16:06.000Z";"2021-12-24T15:05:05.000Z";"2781";190.1028623799;197.1577171295;185.0193785725;190.2731987762;2286837231.81;58757154429.9;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T19:49:14.000Z";"2021-12-23T00:36:05.000Z";"2781";178.5027691935;193.2760397023;176.1164571114;190.0363190423;2191634326.35;58665132084.69;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T08:41:05.000Z";"2021-12-22T23:45:05.000Z";"2781";179.8583394162;187.4734421276;177.4273415361;178.5971210226;1889229699.06;55091892244.03;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T12:39:06.000Z";"2021-12-21T02:35:06.000Z";"2781";173.6943974002;182.4175072655;170.4906322137;180.0925523314;1821107817.59;55528846910.14;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T01:14:06.000Z";"2021-12-20T14:22:15.000Z";"2781";179.9777356852;181.1532628745;168.6835185827;173.6717844915;1982986557.56;53549206661.84;"2021-12-20T23:59:59.999Z"
