close,low,rsi_14,open,marketCap,marketCap_log,high,ma_7_close,volume_log,year,month,day,weekday
-1.4950039153575694,-1.5157118138061862,-0.30172189397737587,-1.488709291658382,-1.3920415662885293,-3.3624007590112517,-1.4770731382528184,-1.502572063382135,-6.168392112148213,-1.868106117431896,1.0156082848318047,0.029195829603511497,-1.4997296844238173
-1.5022165391447375,-1.5193271706451195,-0.465950296602846,-1.4931424924117132,-1.3975386189467678,-3.480835033736075,-1.4801108017723348,-1.5039508944477427,-6.377567405488365,-1.868106117431896,1.0156082848318047,0.1430212215661696,-0.9995791011735057
-1.4970928076227936,-1.5220950768658192,-1.2395935569235328,-1.5003508824696645,-1.3936336003893803,-3.395454537449647,-1.484556263756976,-1.5057864821813678,-6.002482408706899,-1.868106117431896,1.0156082848318047,0.25684661352882765,-0.4994285179231939
-1.5031801216463907,-1.5200527460920925,-1.4450737044593627,-1.4952437126937443,-1.3982612757603237,-3.497361160220118,-1.4835401493314297,-1.507888029075621,-5.591081959042127,-1.868106117431896,1.0156082848318047,0.3706720054914857,0.0007220653271177847
-1.5022677365942259,-1.519543059050079,-1.2101335429188116,-1.5012657852009343,-1.397554406381311,-3.481193522526428,-1.4839234146783131,-1.5087226579386694,-5.919682548812123,-1.868106117431896,1.0156082848318047,0.48449739745414383,0.5008726485774295
-1.4901897288825894,-1.520934158647495,-0.23194335756064025,-1.5000140675824707,-1.3883449787980842,-3.2891573664188436,-1.477245672475795,-1.5091892494592947,-5.813680042279715,-1.868106117431896,1.0156082848318047,0.598322789416802,1.0010232318277412
-1.4805406890723292,-1.5050805456775769,0.017549164374119786,-1.488053618402376,-1.3809876226072064,-3.1560440553714795,-1.4683806527575958,-1.5077339339574172,-5.808422092220555,-1.868106117431896,1.0156082848318047,0.71214818137946,1.501173815078053
-1.4858003813801481,-1.5055244642338363,0.2507492386593345,-1.4789235969099277,-1.3849981172340855,-3.226671886480651,-1.4677788782289558,-1.5064056033559132,-5.884232987041399,-1.868106117431896,1.0156082848318047,0.8259735733421181,-1.4997296844238173
-1.4788667917862228,-1.5029635127886283,0.41117735527902344,-1.4840311059347264,-1.3797082475164986,-3.1344035029167925,-1.4646282444375252,-1.5030355735358691,-5.660039538510076,-1.868106117431896,1.0156082848318047,0.9397989653047761,-0.9995791011735057
-1.4652986584376713,-1.4933169494400569,0.5498944976900729,-1.4761992239198687,-1.3693621417105095,-2.973027043369045,-1.4463391570368644,-1.4984467773826753,-4.990716089658461,-1.868106117431896,1.0156082848318047,1.0536243572674342,-0.4994285179231939
