open,high,low,close,volume,marketCap
0.9510539576,1.0490727003,0.7650203561,0.776818583,17.59656904016663,1.3668508307327345
0.7854477142,0.956669837,0.7624262001,0.8825069283,17.472303140976756,1.3651403041562131
0.8907596124,0.8916027828,0.7739763066,0.777831565,16.717552095556616,1.3544310219227127
0.777831565,0.7964723569,0.62816943,0.6619248247,16.633766425202705,1.3532068601365965
0.6692891492,0.7049635486,0.6215314556,0.646650902,16.386233698858348,1.3495470554220472
0.6308788161,0.7741922285,0.6251074125,0.6908158754,16.876376441961316,1.3567316818814228
0.6893124542,0.7196137824,0.6607279708,0.6607279708,16.105092576220468,1.3453099134690227
0.6607279708,0.7176182094,0.6594270873,0.6810963346,16.09606606162187,1.3451724211428948
0.6815158845,0.6846413272,0.5984869932,0.6069691753,16.04441373664445,1.3443838863897957
0.6129475815,0.6392537157,0.5205778168,0.5388121296,15.936887564426206,1.3427326637649588
0.5413867096,0.6045860423,0.5085489999,0.5876591557,16.088822178356402,1.345062015748082
0.5811660898,0.7069636403,0.5696207927,0.6916009159,16.750876953849676,1.3549158963382704
0.6853471696,0.6980770003,0.6003218391,0.6274571798,16.417108688620175,1.3500071162257878
0.6240211719,0.6710200125,0.6139411114,0.6342422206,16.019842183629734,1.3440077139712843
0.6305280581,0.6709482817,0.6215474074,0.6433293014,15.805014498159911,1.340689416274322
0.6532150353,0.6914993917,0.6311705801,0.6355063436,15.934264318226026,1.3426922148869453
0.635713807,0.6602826397,0.5610275238,0.5723718951,15.817927296325218,1.340890379695831
0.5782527305,0.6921475105,0.568483718,0.6612925152,15.826432627693057,1.3410226428755516
0.6622856379,0.7777712931,0.6552737167,0.7458404098,15.99039243915911,1.3435559568915059
0.7471945371,0.8008164793,0.6878805251,0.691045421,15.428321303994847,1.334739652097514
0.691045421,0.7370712885,0.6859027031,0.7287939694,15.242052285337216,1.3317335497343614
0.7272676035,0.7489807989,0.7079035373,0.7158764119,15.051376352756677,1.3286108506080685
0.7147957537,0.7298005162,0.6566156226,0.6795345711,15.017985624240326,1.3280591834198663
0.6796251716,0.7058124705,0.6184336064,0.6674907704,15.052056690066935,1.32862207575434
0.6734404569,0.6862142074,0.6264988113,0.641837363,14.861941558094705,1.3254616655228377
0.6424541881,0.6738908201,0.6225835989,0.6225835989,14.80041797270865,1.3244286365177058
0.6225835989,0.6322677674,0.573375617,0.6129779573,15.02621005925002,1.3281951989167575
0.6129779573,0.6366183682,0.5898517861,0.6049221211,14.727068335057439,1.3231903640479938
0.6040415005,0.6254292371,0.58844783,0.6045273913,14.570929830751016,1.3205299431292117
0.60446073,0.6123031827,0.5130808729,0.5370339116,14.660340432521158,1.322057508958963
0.5362550065,0.5718601481,0.5051936368,0.5152727853,14.556724703152655,1.3202862278144012
0.5133905279,0.5597585692,0.5052511938,0.5385756503,14.603343123184702,1.3210850001033376
0.5383715697,0.5648742321,0.5180383004,0.5505316574,14.65985256698102,1.3220492038519667
0.5505316574,0.5809456821,0.550109684,0.5691176101,14.532324356669566,1.3198669357319641
0.5691933572,0.5746195946,0.5470931421,0.5597520245,14.430734817930334,1.3181122201663185
0.5589808885,0.606534222,0.554360781,0.5991202733,14.648597991088128,1.3218575222096212
0.5952282799,0.6401958735,0.5891751252,0.6129888072,14.892704928456034,1.325976306447055
0.6126824126,0.6743934855,0.6096490425,0.6526701697,15.013774959315967,1.3279895133534458
0.6509743602,0.6544803689,0.6112481094,0.6244542651,14.68272198067061,1.3224381659616091
0.622475105,0.6266558209,0.5752826524,0.5791556672,14.649691654206926,1.3218761565267876
0.579691537,0.6137893251,0.5433456184,0.6089153241,14.867386801315552,1.3255528510505177
0.6052387149,0.6764319609,0.5828297183,0.6388750705,15.04263929625795,1.3284666410507207
0.6374146219,0.6388488741,0.5882473187,0.6130314105,14.785730550013563,1.3241812701722733
0.6132888674,0.6132888674,0.5484318754,0.5490530853,14.840410714072549,1.325100723608328
0.5485702014,0.6501379931,0.5380636579,0.6008572754,15.321714877901664,1.333024488883064
0.5991043499,0.612353062,0.5664632151,0.5733066603,14.804939596590001,1.3245047313478664
0.5733066603,0.6110868484,0.5714434198,0.590984627,14.746459948801297,1.3235184389856853
0.5908836269,0.5923976798,0.5669477763,0.5751554634,14.794884578889224,1.3243354769975368
0.5746987796,0.5934052024,0.5668584166,0.5794154082,14.541540355428802,1.3200254001674363
0.5813550692,0.6024892675,0.5670501017,0.587932798,14.711229469509124,1.3229220156065453
0.5879027376,0.5939974967,0.5692446625,0.5700220201,14.453656573208388,1.3185094151755934
0.5734723598,0.5878388887,0.5673479381,0.5774951567,14.585562370661982,1.3207806971292855
0.5771421787,0.5897246572,0.5522943664,0.5646694332,14.074606765067877,1.3118433147098267
0.5646694332,0.591025168,0.56446123,0.5866206217,13.684772038778249,1.3047618679044453
0.5868672541,0.5916400389,0.5645175516,0.5872994935,13.711973101745514,1.305263698219581
0.5872994935,0.6982792965,0.5779251645,0.6611546424,15.279250252654002,1.332337339589976
0.6610714948,0.6616187891,0.6117805673,0.6224426952,14.288046079264502,1.3156227297897318
0.6224426952,0.6244438619,0.5933979634,0.6165778544,13.482533264906676,1.3009933354333114
0.61507796,0.6790013999,0.6133101865,0.6683130657,14.180316727702252,1.3137235705840657
0.6677842346,0.6680881726,0.6272423148,0.6580024982,13.803770350637475,1.3069485922513235
0.658038317,0.6700430922,0.6334042611,0.644866659,13.907364161595474,1.30883413448138
0.6448884109,0.650534979,0.5700824935,0.5737415957,13.930821375762397,1.3092587759984167
0.5740587991,0.6046532481,0.5699204007,0.593868974,13.753980030939596,1.3060363683349532
0.593947639,0.6114392133,0.5854854607,0.6089432866,13.547314134471772,1.3022077159318053
0.6109266271,0.6182584339,0.5808994344,0.587076585,13.680168097775052,1.3046768132236592
0.5883729519,0.5918974303,0.5472869934,0.5706391362,13.756468572492995,1.3060820545072782
0.5705786948,0.5898283447,0.5686890962,0.5855762628,13.387832202348344,1.299205580252493
0.5854967277,0.5901288907,0.5651168169,0.5815619708,13.419909425495625,1.2998128030236555
0.5815823911,0.6503086133,0.5792852087,0.6209560963,14.115127824283112,1.3125660320793084
0.6224065957,0.8363984814,0.6203838163,0.6843317386,15.699161028869634,1.3390346263424702
0.6825227645,0.6885834719,0.625625722,0.6435912904,14.354577397889768,1.3167871515079044
0.6461345107,0.7485415841,0.6368803642,0.6731492006,14.62124873662834,1.3213909963530177
0.6725773761,0.7431130962,0.6458773883,0.726847852,14.298176721612682,1.3158004491999968
0.7267726893,0.7606327261,0.7007119736,0.7082967549,14.09868843925991,1.3122731225912077
0.7085297278,0.8006916026,0.6935010965,0.7369938769,14.834016541936599,1.3249934124396847
0.7370998719,0.7567046474,0.6992403991,0.7131935883,14.376030068847642,1.3171612497452074
0.7125312683,0.7519919383,0.6815319452,0.7411443363,14.32513345073923,1.316272618515654
0.7395968625,0.7522113948,0.675838229,0.7135480362,14.335154602908382,1.3164478787727765
0.7135480362,0.8439765007,0.6870949194,0.7984952689,15.042980125503506,1.3284722684725048
0.7984952689,0.885339207,0.7700086031,0.8524542403,14.57995088634583,1.320684569866667
0.853022446,1.0291762972,0.850103876,0.860093981,15.173289535067443,1.3306127910957541
0.8633639638,0.9017150754,0.8209265187,0.8326415701,14.387935861199916,1.317368581161629
0.8321159672,0.8371266395,0.7536675782,0.7802190183,14.374887734577136,1.3171413460561237
0.7820357344,0.7860349886,0.7551128796,0.7680930463,13.950879648487179,1.3096212156545695
0.7679409535,0.8231551403,0.7614507636,0.7803716825,14.31282680969695,1.316057188333731
0.7801012256,0.7855474402,0.642635456,0.691663563,15.150252991253868,1.3302359723760675
0.691663563,0.7210455412,0.6865804049,0.7079080102,13.929530308002459,1.3092354260824282
0.7078578575,0.7808926671,0.7019216042,0.753047993,14.346163314608534,1.31664024316309
0.753047993,0.8275228899,0.7434114823,0.7967134,14.613118528049851,1.3212521110404964
0.7940179716,0.8823577201,0.7599057164,0.8534530473,14.797111204625402,1.3243729691545318
0.8533037238,0.9396294291,0.8428498045,0.9135595927,14.433985845089083,1.3181686004345106
0.9135595927,0.9263473014,0.859094947,0.9246242455,14.397063980959356,1.3175274035739974
0.9238560634,1.1309782125,0.9141171063,1.0167159585,15.361661754225933,1.3336688376658519
1.0167159585,1.2876625404,1.008884329,1.175734102,15.217203192319207,1.3313292296360497
1.1724756189,1.2460057862,1.1191661656,1.1480745421,14.609921139960438,1.321197466153259
1.1475232798,1.3968347053,1.1414575574,1.2895980969,15.026030978788505,1.3281922382290696
1.2840388782,1.3749670775,0.8550437226,0.8724413774,15.828621147728517,1.3410566620768611
0.8707610942,1.0468418785,0.8018844273,0.977837416,16.009817032889174,1.3438540395609007
0.9775154481,1.0007162492,0.9317262896,0.9665834956,14.888123842584164,1.325899749317083
0.9680040892,0.9703541474,0.8995154359,0.9203494876,14.606996065224012,1.32114746281026
0.9205151968,0.9215838947,0.8518778801,0.873089429,14.926338569941338,1.3265375235042614
0.8729279865,1.0082536516,0.8603158688,0.9771657172,15.274010071667302,1.3322523876134953
0.9771979561,1.1047035089,0.9724847533,1.0440872525,15.482274099812575,1.3356023350014077
1.0461550093,1.10121768,0.9973940848,1.0498435789,14.904215305297065,1.3261685397211918
1.0498435789,1.0539536708,0.9747797093,0.9953455032,14.50453139185343,1.319388327384465
0.9954404758,1.4327404741,0.995397298,1.2522228542,16.11592133284099,1.3454747370202151
1.2447281293,1.6246480121,1.2382832885,1.5651096946,16.163368264364994,1.3461953761549206
1.5650978505,2.0427395416,1.5610869348,1.7786355018,17.307107771562936,1.3628438822463151
1.7841105086,1.8586721686,1.6117686242,1.7840672328,16.086876687922132,1.3450323541107012
1.7856619474,2.0956222621,1.5931664867,1.6582894819,16.152395191325994,1.3460289369882086
1.6582894819,1.7964490756,1.6357119142,1.6868071033,15.468578884972663,1.3353836923116693
1.6868071033,1.6884881442,1.5104049495,1.5381776554,15.388709140661517,1.3341039883449382
1.5327589175,1.6622289167,1.4988720501,1.5266096403,15.339365145983386,1.3333094356578141
1.5299097878,1.746822822,1.4119729018,1.7428103498,15.79189135276745,1.3404849794846219
1.7322900834,1.830034343,1.668725882,1.8026109836,15.579562603957216,1.3371489605706057
1.8000120162,1.9498753591,1.7949842008,1.8716388581,15.519470339567501,1.3361950131181115
1.8707357761,1.8881222215,1.7095089892,1.7545498159,15.50297660865047,1.3359324131999626
1.7545498159,2.2280030837,1.7467834404,2.2063483273,16.226372137338146,1.3471484282465214
2.2031656604,2.2031656604,1.8855724385,2.0859026353,15.90342893206514,1.3422161585958052
2.0838893527,2.5695897667,2.0265381706,2.4736248549,16.206036029459053,1.346841287065553
2.4715557912,2.7068228056,2.3025011775,2.6652275038,16.309363557887735,1.3483971480667643
2.6652275038,3.397928851,2.5258977789,3.1317933021,16.945041447248013,1.3577183880703516
3.1310423538,3.4865346222,2.7536339253,3.3034192974,17.4088741060637,1.3642616223372972
3.3079578477,3.9161678412,3.1039786229,3.769750913,17.164070148474703,1.3608343571747132
3.7707031095,4.1558137393,3.5285196285,3.7559711571,17.156114707192344,1.3607220085473144
3.760167945,3.7899966741,3.3326543173,3.4093876608,16.729379144951924,1.3546032359267353
3.4125551299,3.7199446436,3.1654645924,3.1837948871,16.392370499659275,1.3496385803013313
3.1854060049,3.4706875882,3.1386879011,3.3856527737,16.156865668332745,1.3460967612122663
3.3856527737,3.3859986027,3.087985369,3.0986077086,16.187987296959758,1.3465683092850023
3.1044691232,3.7099107158,2.8944138509,3.329975918,17.228311884024944,1.3617393348146523
3.3286959627,3.483863211,2.8381083557,2.8990406106,16.512728293860523,1.3514254315894467
2.8990406106,3.4318430109,2.896235885,3.2082670433,16.43702048200095,1.350303272700173
3.2097175852,3.2232895991,2.9137710266,2.9436683663,16.283333494407355,1.3480063032934184
2.9453077453,3.1948652107,2.7573269666,3.0208864428,16.14734429054129,1.3459522800055017
3.0208633212,3.4034150223,3.0188381053,3.3224310635,16.299700547679446,1.3482521431807724
3.3122215159,3.6075394637,3.2244306713,3.3449860527,16.57458390256657,1.3523377463472694
3.3496639062,3.3582474652,3.027719405,3.2648499809,16.414066456256737,1.349961830279789
3.2660412485,3.795323592,3.1943108214,3.5583753134,16.913232133064106,1.3572618840991868
3.5578442862,3.8547059595,3.2922138796,3.445060334,16.86152508767887,1.3565176431218446
