timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-12-31T00:00:00.000Z";"2024-12-31T23:59:59.999Z";"2024-12-31T14:35:00.000Z";"2024-12-31T01:17:00.000Z";"2781";0.2529658604;0.2571423464;0.2510479546;0.2542083783;591505440.53;21911953418.4;"2024-12-31T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2024-12-30T23:59:59.999Z";"2024-12-30T03:10:00.000Z";"2024-12-30T16:52:00.000Z";"2781";0.257286274;0.2591945998;0.2503487392;0.2529658604;903322164.38;21805342213.96;"2024-12-30T23:59:59.999Z"
"2024-12-29T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-29T08:46:00.000Z";"2024-12-29T23:21:00.000Z";"2781";0.2578981338;0.2627577161;0.2563149344;0.2572862091;780016563.52;22178565873.3;"2024-12-29T23:59:59.999Z"
"2024-12-28T00:00:00.000Z";"2024-12-28T23:59:59.999Z";"2024-12-28T00:57:00.000Z";"2024-12-28T16:16:00.000Z";"2781";0.2587919146;0.2626203172;0.2563270504;0.2578981338;616275034.61;22231463898.06;"2024-12-28T23:59:59.999Z"
"2024-12-27T00:00:00.000Z";"2024-12-27T23:59:59.999Z";"2024-12-27T12:29:00.000Z";"2024-12-27T00:40:00.000Z";"2781";0.2534081022;0.2649203929;0.2528386314;0.2587919146;1301028136.36;22310648775.67;"2024-12-27T23:59:59.999Z"
"2024-12-26T00:00:00.000Z";"2024-12-26T23:59:59.999Z";"2024-12-26T00:20:00.000Z";"2024-12-26T08:41:00.000Z";"2781";0.2577452868;0.2586632081;0.2496766908;0.2535724693;915626819.86;21859549178.69;"2024-12-26T23:59:59.999Z"
"2024-12-25T00:00:00.000Z";"2024-12-25T23:59:59.999Z";"2024-12-25T11:38:00.000Z";"2024-12-25T00:44:00.000Z";"2781";0.2563319796;0.2584957814;0.2554736562;0.2577452868;710269955.53;22219873966.87;"2024-12-25T23:59:59.999Z"
"2024-12-24T00:00:00.000Z";"2024-12-24T23:59:59.999Z";"2024-12-24T16:27:00.000Z";"2024-12-24T02:22:00.000Z";"2781";0.2521335735;0.2590121091;0.2502257759;0.2563319796;853884488.57;22098463980.03;"2024-12-24T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-23T23:59:59.999Z";"2024-12-23T23:10:00.000Z";"2024-12-23T01:22:00.000Z";"2781";0.2438872517;0.2532765696;0.2415734754;0.2521335735;1283469984.37;21737256282.81;"2024-12-23T23:59:59.999Z"
"2024-12-22T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-22T13:46:00.000Z";"2024-12-22T20:21:00.000Z";"2781";0.2447753367;0.2499652902;0.2417766268;0.2438872517;1093041012.55;21027208092.42;"2024-12-22T23:59:59.999Z"
"2024-12-21T00:00:00.000Z";"2024-12-21T23:59:59.999Z";"2024-12-21T07:55:00.000Z";"2024-12-21T19:40:00.000Z";"2781";0.2485655245;0.2555412642;0.2421863043;0.2447753367;1294992803.98;21103960757.38;"2024-12-21T23:59:59.999Z"
"2024-12-20T00:00:00.000Z";"2024-12-20T23:59:59.999Z";"2024-12-20T03:19:00.000Z";"2024-12-20T12:02:00.000Z";"2781";0.2514855439;0.2540487994;0.2248454961;0.2485655245;2108768957.15;21431151281.09;"2024-12-20T23:59:59.999Z"
"2024-12-19T00:00:00.000Z";"2024-12-19T23:59:59.999Z";"2024-12-19T10:58:00.000Z";"2024-12-19T20:17:00.000Z";"2781";0.2579820237;0.2660473347;0.2444287619;0.2514855439;2034219897.67;21684163034.63;"2024-12-19T23:59:59.999Z"
"2024-12-18T00:00:00.000Z";"2024-12-18T23:59:59.999Z";"2024-12-18T01:19:00.000Z";"2024-12-18T23:56:00.000Z";"2781";0.2793076633;0.2811698045;0.2578170143;0.2579785133;1785826783.21;22245495489.82;"2024-12-18T23:59:59.999Z"
"2024-12-17T00:00:00.000Z";"2024-12-17T23:59:59.999Z";"2024-12-17T12:55:00.000Z";"2024-12-17T23:16:00.000Z";"2781";0.2967093151;0.2969840374;0.2781093537;0.2793044462;1828006295.48;24085510971.55;"2024-12-17T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-16T23:59:59.999Z";"2024-12-16T21:10:00.000Z";"2024-12-16T13:19:00.000Z";"2781";0.2852961797;0.3044032334;0.276844903;0.2967093151;2009690176.84;25587394863.98;"2024-12-16T23:59:59.999Z"
"2024-12-15T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-15T14:29:00.000Z";"2024-12-15T07:46:00.000Z";"2781";0.2822444587;0.2863397291;0.2756915482;0.2852961797;816567663.82;24604553260.97;"2024-12-15T23:59:59.999Z"
"2024-12-14T00:00:00.000Z";"2024-12-14T23:59:59.999Z";"2024-12-14T09:23:00.000Z";"2024-12-14T20:58:00.000Z";"2781";0.2906586923;0.2969929367;0.2779956294;0.2822444587;1068522043.97;24341782033.54;"2024-12-14T23:59:59.999Z"
"2024-12-13T00:00:00.000Z";"2024-12-13T23:59:59.999Z";"2024-12-13T00:42:00.000Z";"2024-12-13T16:07:00.000Z";"2781";0.2972306404;0.3018813922;0.2847929146;0.2906586923;1454332521.97;25067922877.59;"2024-12-13T23:59:59.999Z"
"2024-12-12T00:00:00.000Z";"2024-12-12T23:59:59.999Z";"2024-12-12T18:56:00.000Z";"2024-12-12T00:58:00.000Z";"2781";0.2824804864;0.3094274149;0.2813074444;0.2972261187;2677027100.71;25635458971.22;"2024-12-12T23:59:59.999Z"
"2024-12-11T00:00:00.000Z";"2024-12-11T23:59:59.999Z";"2024-12-11T16:22:00.000Z";"2024-12-11T02:05:00.000Z";"2781";0.2699579466;0.2870627956;0.2620072357;0.2824820968;1651342023.53;24364763712.3;"2024-12-11T23:59:59.999Z"
"2024-12-10T00:00:00.000Z";"2024-12-10T23:59:59.999Z";"2024-12-10T10:14:00.000Z";"2024-12-10T03:30:00.000Z";"2781";0.2632996872;0.2792981976;0.2450662625;0.2699579466;2504928985.07;23285849707.96;"2024-12-10T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-09T23:59:59.999Z";"2024-12-09T00:22:00.000Z";"2024-12-09T22:25:00.000Z";"2781";0.3188319416;0.3204848592;0.2493119568;0.2633001319;2277776840.75;22713158758.63;"2024-12-09T23:59:59.999Z"
"2024-12-08T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-08T03:34:00.000Z";"2024-12-08T10:28:00.000Z";"2781";0.3215354178;0.3231809107;0.309094737;0.3188233407;1170444145.72;27505368610.94;"2024-12-08T23:59:59.999Z"
"2024-12-07T00:00:00.000Z";"2024-12-07T23:59:59.999Z";"2024-12-07T05:28:00.000Z";"2024-12-07T20:02:00.000Z";"2781";0.3259796751;0.3351575009;0.3179279191;0.3193116302;1549520534.37;27547322063.24;"2024-12-07T23:59:59.999Z"
"2024-12-06T00:00:00.000Z";"2024-12-06T23:59:59.999Z";"2024-12-06T05:58:00.000Z";"2024-12-06T12:59:00.000Z";"2781";0.3221927886;0.3291228622;0.3104586363;0.3259847358;2148538341.98;28123320140.6;"2024-12-06T23:59:59.999Z"
